0	702	312	8	1	624
1	702	263	57	1	48
2	702	295	89	1	48
3	702	368	55	1	32
4	702	439	56	1	80
5	702	494	90	1	64
6	702	543	120	1	64
7	702	559	41	1	96
8	702	855	22	1	464
9	702	1326	8	1	352
10	702	1318	40	1	112
11	702	1350	72	1	112
12	702	1383	104	1	112
13	702	1342	280	1	64
14	702	1439	232	1	64
15	702	1589	248	1	208
16	702	1517	89	1	32
17	702	1574	9	1	80
18	702	1949	7	1	576
19	702	1582	23	1	32
20	702	1598	40	1	32
21	702	1607	56	1	16
22	702	1669	57	1	16
23	702	1676	40	1	32
24	702	1686	24	1	48
25	702	1806	42	1	32
26	702	1870	57	1	32
27	702	2165	56	1	48
28	702	2197	152	1	48
29	702	2270	57	1	32
30	702	2270	120	1	32
31	702	2334	40	1	32
32	702	2533	7	1	560
33	702	2014	56	1	64
34	701	367	36	48	32
35	701	629	15	32	16
36	701	1573	22	16	16
37	701	1589	40	16	16
38	701	1605	56	16	16
39	701	1669	55	16	16
40	701	1685	40	16	16
41	701	1701	22	16	16
42	701	1806	32	32	32
43	701	1870	39	48	32
44	701	2270	224	192	32
45	701	2269	39	48	32
46	701	2335	29	32	32
47	705	659	46	32	16
48	705	1063	45	32	16
49	705	506	61	32	16
50	705	611	64	32	16
51	705	1363	31	32	16
52	705	1505	29	32	16
53	705	10	193	32	16
