0	601	184	72	15	15
1	601	201	71	15	15
2	601	233	120	15	15
3	601	424	103	15	15
4	602	245	125	7	7
5	601	712	71	15	15
6	602	1477	61	7	7
7	602	1444	302	7	7
8	603	1080	104	15	13
9	603	1111	135	15	13
10	603	1142	168	15	13
11	603	1175	199	15	13
12	603	1208	231	15	13
13	603	1336	343	15	13
14	603	1353	343	15	13
15	603	1369	344	15	13
16	603	1498	312	15	13
17	603	1480	313	15	13
18	603	1544	295	15	13
19	603	1559	295	15	13
20	603	1575	295	15	13
21	603	1592	297	15	13
22	603	1624	310	15	13
23	603	1640	311	15	13
24	603	1656	312	15	13
25	603	1673	312	15	13
26	603	1704	280	15	13
27	603	1735	311	15	13
28	603	1767	296	15	13
29	603	1814	329	15	13
30	603	1847	296	15	13
31	201	224	35	7	7
32	201	851	45	7	7
33	201	904	49	7	7
34	202	992	53	11	9
35	205	1342	129	12	7
36	205	1382	129	12	7
37	205	1423	132	12	7
38	208	1460	20	63	31
39	204	367	77	11	7
40	206	1808	58	11	7
41	207	1871	77	11	7
42	203	2114	56	22	48
43	203	546	57	22	48
44	602	660	45	7	7
