0	601	183	73	15	15
1	601	201	73	15	15
2	601	230	121	15	15
3	601	424	105	15	15
4	601	712	72	15	15
5	602	248	120	15	15
6	602	665	40	15	15
7	602	1481	55	15	15
8	602	1447	296	15	15
9	603	1080	104	15	13
10	603	1111	137	15	13
11	603	1143	167	15	13
12	603	1175	201	15	13
13	603	1208	232	15	13
14	603	1335	344	15	13
15	603	1352	345	15	13
16	603	1368	345	15	13
17	603	1480	312	15	13
18	603	1497	312	15	13
19	603	1544	296	15	13
20	603	1560	295	15	13
21	603	1576	296	15	13
22	603	1593	295	15	13
23	603	1623	313	15	13
24	603	1640	312	15	13
25	603	1657	312	15	13
26	603	1673	312	15	13
27	603	1704	280	15	13
28	603	1736	312	15	13
29	603	1768	296	15	13
30	603	1815	328	15	13
31	603	1847	298	15	13
32	201	230	42	21	21
33	201	852	46	21	21
34	201	920	47	21	21
35	203	556	71	35	21
36	202	998	55	31	26
37	204	371	87	42	21
38	206	1809	60	33	21
39	207	1872	81	31	21
40	203	2107	74	35	21
41	205	1336	141	26	15
42	205	1375	141	26	15
43	201	446	46	21	21
44	205	1415	141	26	15
45	208	1400	43	35	21
